,Description,age
0,Action sociale ambulatoire pour personnes toxicodépendantes,14.01639344262295
1,Activités combinées de soutien lié aux bâtiments,14.203175333640129
2,Activités d'affacturage (Factoring),17.19607843137255
3,Activités d'architecture d'intérieur,10.210421836228289
4,"Activités d'architecture d'urbanisme, de paysage et de jardin",6.898231996550237
5,Activités d'architecture de construction,14.088504297090594
6,Activités d'enquête,12.227091633466136
7,"Activités d'ingénierie et de conseils techniques, sauf activités des géomètres",11.454282345374638
8,Activités d'organisations professionnelles,38.73728813559322
9,Activités d'organisations économiques et patronales,41.04545454545455
10,Activités d'organismes publics relatives aux matières économiques,44.91860465116279
11,"Activités d'organismes publics relatives aux soins de santé, à l'environnement, à l'enseignement, à la culture et aux autres matières sociales",28.61111111111111
12,Activités de banque centrale,13.887755102040817
13,Activités de banques de données,18.013824884792626
14,Activités de centres d'appels,19.46808510638298
15,Activités de clubs cyclistes,11.732970027247957
16,Activités de clubs d'athlétisme,20.242857142857144
17,Activités de clubs d'autres sports,10.892936472678809
18,Activités de clubs d'autres sports de ballon,19.235401459854014
19,Activités de clubs de football,27.94241645244216
20,Activités de clubs de sport et d'associations sportives,31.933529411764706
21,Activités de clubs de sports de combat,9.902173913043478
22,Activités de clubs de sports nautiques,22.31804281345566
23,Activités de clubs de tennis,22.42528735632184
24,Activités de clubs équestres,9.795918367346939
25,Activités de conditionnement,12.244897959183673
26,Activités de conseil en matière comptable et l'organisation des services comptables pour des tiers,26.0
27,Activités de conseil en matière de sécurité industrielle de sécurité des ménages et des services publics,8.0
28,Activités de design graphique,4.825639978213507
29,Activités de design industriel,6.3753315649867375
30,Activités de dressage pour animaux de compagnie,6.171011931064958
31,"Activités de gestion de holdings : intervention dans la gestion journalière, représentation des entreprises sur base de la possession ou du contrôle du capital social, etc.",9.0
32,Activités de gestion et d'administration de holdings,21.281553398058254
33,Activités de poste dans le cadre d'une obligation de service universel,6.207335710646969
34,Activités de pré-presse,23.467980295566502
35,Activités de prépresse,10.308613804905876
36,Activités de revalidation ambulatoire,14.479585128916806
37,Activités de soins résidentiels pour adultes avec un handicap mental,28.8125
38,Activités de soins résidentiels pour adultes avec un handicap moteur,20.547619047619047
39,Activités de soins résidentiels pour mineurs avec un handicap mental,39.35
40,Activités de soins résidentiels pour mineurs avec un handicap moteur,35.733333333333334
41,Activités de soins résidentiels pour personnes avec un problème psychiatrique,30.89830508474576
42,Activités de soins résidentiels pour personnes toxicodépendantes,16.22222222222222
43,Activités de soutien aux administrations,35.24
44,Activités de soutien aux autres industries extractives,32.67272727272727
45,Activités de soutien aux cultures,11.987385988744421
46,Activités de soutien à l'extraction d'hydrocarbures,14.424242424242424
47,Activités de soutien à la création artistique,7.102593440122044
48,Activités de soutien à la production animale,12.685155412647374
49,Activités de syndicats de salariés,45.62011173184357
50,Activités de sécurité privée,15.38512396694215
51,Activités des Centres Psycho-Médico-Sociaux (P.M.S.),35.75892857142857
52,Activités des agences de placement de main-d'oeuvre,9.270394868711165
53,Activités des agences de presse,13.80771586037967
54,Activités des agences de publicité,10.639021691888262
55,Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle,15.860724233983287
56,Activités des agences de travail temporaire,14.49947201689546
57,Activités des agences de voyage,16.2367849384504
58,Activités des agents et courtiers d'assurances,17.505573369980148
59,Activités des agents et courtiers en services bancaires,11.925735294117647
